lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
3.2,111.0,-42.6,0,16,2025-02-02:18:00,18.96,1.19,1.33,0.07035,63.4,203.4,187.9,5.36,0.93,6.41,26
3.3,111.2,-41.8,0,16,2025-02-02:18:00,13.41,0.84,0.97,0.07200,63.4,206.3,189.1,5.59,0.89,6.57,26
3.4,111.4,-48.4,0,16,2025-02-02:18:00,13.41,0.84,0.98,0.07275,63.4,210.4,191.0,5.51,0.85,6.20,26
3.5,111.6,-40.7,0,16,2025-02-02:21:00,13.41,0.84,0.97,0.07228,63.4,216.0,191.9,5.07,0.84,6.22,26
3.6,111.8,-50.6,0,16,2025-02-02:21:00,13.40,0.84,0.96,0.07168,71.5,220.5,191.2,4.84,0.81,6.16,26
3.7,112.1,-39.0,0,16,2025-02-02:21:00,18.95,1.18,1.33,0.07024,71.5,226.6,189.6,4.37,0.77,6.09,27
3.8,112.4,-49.9,0,16,2025-02-03:00:00,18.95,1.18,1.33,0.07024,63.4,235.1,188.8,4.20,0.75,5.82,26
3.9,112.6,-45.7,0,16,2025-02-03:00:00,13.40,0.84,0.96,0.07174,63.4,236.8,189.1,4.53,0.75,5.79,26
4.0,112.8,-54.2,0,16,2025-02-03:00:00,13.40,0.84,0.97,0.07273,63.4,237.5,189.8,4.84,0.75,5.78,26
4.1,113.0,-54.2,0,16,2025-02-03:03:00,13.40,0.84,0.99,0.07422,53.0,241.3,199.7,5.10,0.82,5.38,26
4.4,113.4,-65.4,0,16,2025-02-03:03:00,29.97,1.87,2.19,0.07303,53.0,246.8,199.4,4.72,0.81,5.17,26
4.7,113.8,-71.1,0,16,2025-02-03:06:00,29.96,1.87,2.20,0.07352,44.9,229.6,202.1,5.35,0.80,5.15,26
4.8,113.9,-72.1,0,16,2025-02-03:06:00,8.48,0.53,0.64,0.07561,63.3,229.5,203.0,5.52,0.83,5.19,26
4.9,114.1,-63.0,0,16,2025-02-03:06:00,13.39,0.84,1.01,0.07535,63.3,229.4,202.6,5.80,0.83,5.19,26
5.0,114.3,-52.5,0,16,2025-02-03:09:00,13.39,0.84,1.02,0.07649,56.2,229.3,200.1,6.21,0.84,5.28,26
5.2,114.6,-52.2,0,16,2025-02-03:09:00,21.59,1.35,1.69,0.07825,56.2,229.2,199.9,6.28,0.86,5.22,27
5.4,114.9,-29.3,0,16,2025-02-03:12:00,21.58,1.35,1.67,0.07728,63.3,228.2,197.8,5.32,0.85,5.37,27
5.5,115.1,-33.9,0,16,2025-02-03:12:00,13.38,0.84,0.99,0.07364,44.9,230.0,198.3,4.98,0.87,3.22,27
5.6,115.2,-23.0,0,16,2025-02-03:12:00,8.47,0.53,0.62,0.07363,0.0,229.6,198.8,4.84,0.88,2.16,28
5.7,115.2,-32.3,0,16,2025-02-03:12:00,6.00,0.38,0.42,0.06954,63.3,229.8,198.6,5.35,0.87,4.32,28
5.8,115.4,-38.8,0,16,2025-02-03:12:00,13.37,0.84,0.98,0.07306,63.3,227.8,187.7,4.66,0.36,5.40,28
5.9,115.6,-40.2,0,16,2025-02-03:15:00,13.37,0.84,0.98,0.07298,56.1,204.8,186.4,6.47,0.51,6.05,28
6.1,115.9,-52.6,0,16,2025-02-03:15:00,21.57,1.35,1.62,0.07533,90.0,211.6,188.2,5.73,0.81,6.11,28
6.1,116.0,-43.5,0,0,2025-02-03:15:00,5.97,0.37,0.41,0.06934,0.0,211.8,186.2,4.88,0.76,6.11,28
