lat,lon,z,forceOcean,shipKnots,arrivalUTC,nmTravelled,hoursUsed,fuelTonsConsumed,fuelTonsPerNM,shipBearing_toConvention,windBearing_toConvention,waveBearing_toConvention,windMag,swh,pp1d,2m_Temp
1.7,105.2,-50.6,0,16,2025-02-02:21:00,13.42,0.84,0.89,0.06664,243.4,191.4,196.1,5.93,0.79,5.05,27
1.6,105.0,-44.9,0,16,2025-02-02:21:00,13.42,0.84,0.90,0.06696,243.4,193.2,198.3,6.05,0.81,5.27,27
1.5,104.8,-42.1,0,16,2025-02-03:00:00,13.42,0.84,0.90,0.06719,243.4,194.6,200.5,6.13,0.78,5.16,27
1.4,104.6,-26.2,0,16,2025-02-03:00:00,13.42,0.84,0.90,0.06728,243.4,196.2,202.7,6.09,0.78,3.08,27
1.3,104.4,-23.2,0,16,2025-02-03:00:00,13.42,0.84,0.90,0.06671,251.6,197.3,207.4,5.79,0.62,2.08,27
1.2,104.1,-11.5,1,16,2025-02-03:03:00,18.98,1.19,1.26,0.06616,270.0,192.7,202.7,5.51,0.24,4.00,26
1.2,104.0,-57.1,0,16,2025-02-03:03:00,6.00,0.38,0.40,0.06602,270.0,193.3,204.7,5.41,0.34,4.67,26
1.2,103.9,-70.7,0,16,2025-02-03:03:00,6.00,0.38,0.39,0.06565,270.0,194.9,207.2,5.30,0.33,4.13,26
1.2,103.8,-25.2,0,16,2025-02-03:03:00,6.00,0.38,0.39,0.06519,270.0,196.5,209.6,5.15,0.33,3.09,26
1.2,103.7,-5.7,1,16,2025-02-03:03:00,6.00,0.38,0.39,0.06483,288.4,198.6,209.9,5.10,0.32,2.65,25
1.3,103.4,-18.4,1,16,2025-02-03:06:00,18.98,1.19,1.25,0.06611,296.6,201.2,203.0,6.08,0.38,2.92,25
1.4,103.2,-28.6,0,16,2025-02-03:06:00,13.42,0.84,0.92,0.06873,296.6,203.0,204.1,6.06,0.35,2.64,25
1.5,103.0,-42.7,0,16,2025-02-03:06:00,13.42,0.84,0.92,0.06884,0.0,204.3,204.0,6.37,0.37,2.88,25
1.6,103.0,-40.5,0,16,2025-02-03:06:00,6.00,0.38,0.45,0.07516,270.0,203.0,248.0,5.42,0.32,1.72,25
1.6,102.9,-41.9,0,16,2025-02-03:06:00,6.00,0.38,0.40,0.06619,270.0,204.3,250.1,5.79,0.34,1.72,25
1.6,102.8,-34.4,0,16,2025-02-03:09:00,6.00,0.38,0.40,0.06747,315.0,205.5,224.3,6.26,0.30,1.72,25
1.7,102.7,-42.4,0,16,2025-02-03:09:00,8.49,0.53,0.61,0.07240,296.6,206.2,185.8,6.25,0.08,0.58,25
1.8,102.5,-46.9,0,16,2025-02-03:09:00,13.42,0.84,0.99,0.07378,303.7,211.6,180.0,7.87,0.00,0.00,26
2.0,102.2,-45.4,0,16,2025-02-03:09:00,21.64,1.35,1.70,0.07848,315.0,217.3,188.9,8.20,0.15,0.74,26
2.1,102.1,-39.6,0,16,2025-02-03:12:00,8.49,0.53,0.69,0.08081,315.0,220.1,204.7,7.60,0.36,1.71,26
2.2,102.0,-38.1,0,16,2025-02-03:12:00,8.49,0.53,0.64,0.07539,296.6,223.3,220.6,7.03,0.57,2.70,26
2.3,101.8,-34.4,0,16,2025-02-03:12:00,13.42,0.84,0.90,0.06703,315.0,225.1,226.6,4.74,0.37,2.44,28
2.4,101.7,-39.2,0,16,2025-02-03:12:00,8.49,0.53,0.54,0.06317,315.0,225.2,227.0,4.10,0.33,2.71,28
2.5,101.6,-38.4,0,16,2025-02-03:12:00,8.49,0.53,0.54,0.06311,296.6,222.5,227.3,3.62,0.31,2.79,28
2.6,101.4,-52.3,0,16,2025-02-03:15:00,13.41,0.84,0.84,0.06266,296.6,216.6,226.8,2.98,0.34,3.06,28
2.7,101.2,-48.1,0,16,2025-02-03:15:00,13.41,0.84,0.88,0.06596,0.0,203.0,191.8,2.90,0.13,3.90,27
2.8,101.2,-36.4,0,0,2025-02-03:15:00,6.00,0.38,0.42,0.07008,0.0,200.7,183.1,2.96,0.06,4.16,27
